serial	tag_date	user_token	tag	from_type	origin	origin_desc	action	last_at	created_at	updated_at
NULL	2021-12-18	U02153d30049699dba9398c4c2e9a409d	BARHUNTER_JW_RM	1	event	other	2	2021-12-17 17:29:04	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U02153d30049699dba9398c4c2e9a409d	對BarkemonGO有興趣者	1	event	other	2	2021-12-17 17:29:04	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U02153d30049699dba9398c4c2e9a409d	對JOHNNIEWALKER有興趣者	1	event	other	2	2021-12-17 17:29:04	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U029380892ec6d9d9cbd66a94a5d84b52	1213泰斯卡品酩會新竹場_按鈕	1	event	other	2	2021-12-17 10:23:51	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U029380892ec6d9d9cbd66a94a5d84b52	1213泰斯卡品酩會新竹場互動者	1	event	other	2	2021-12-17 10:23:51	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U029380892ec6d9d9cbd66a94a5d84b52	對Talisker有興趣者	1	event	other	2	2021-12-17 10:23:51	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U0392131bce857e5f4afdae50b71f1143	BARHUNTER_JW_RM	1	event	other	1	2021-12-17 23:33:23	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U0392131bce857e5f4afdae50b71f1143	對BarkemonGO有興趣者	1	event	other	2	2021-12-17 23:33:23	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U0392131bce857e5f4afdae50b71f1143	對JOHNNIEWALKER有興趣者	1	event	other	2	2021-12-17 23:33:23	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U04708e8267b8b96b3593fc778c8aae1e	對BarkemonGO有興趣者	1	event	other	1	2021-12-17 22:34:29	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U04708e8267b8b96b3593fc778c8aae1e	對JOHNNIEWALKER有興趣者	1	event	other	1	2021-12-17 22:34:29	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U047c9277b47fa13a6e73a72fc9a94770	BARHUNTER_JW_RM	1	event	other	1	2021-12-17 00:37:33	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U047c9277b47fa13a6e73a72fc9a94770	對BarkemonGO有興趣者	1	event	other	1	2021-12-17 00:37:33	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U047c9277b47fa13a6e73a72fc9a94770	對JOHNNIEWALKER有興趣者	1	event	other	2	2021-12-17 00:37:33	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U04943f7f22dba0c9ae887eb510b2de9c	對BarkemonGO有興趣者	1	event	other	2	2021-12-17 20:49:59	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U04943f7f22dba0c9ae887eb510b2de9c	對JOHNNIEWALKER有興趣者	1	event	other	2	2021-12-17 20:49:59	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U05ad8d4053dcf299df0a8a5b7c0055bc	BARHUNTER_JW_RM	1	event	other	1	2021-12-17 21:19:26	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U05ad8d4053dcf299df0a8a5b7c0055bc	對BarkemonGO有興趣者	1	event	other	2	2021-12-17 21:19:26	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U05ad8d4053dcf299df0a8a5b7c0055bc	對JOHNNIEWALKER有興趣者	1	event	other	2	2021-12-17 21:19:26	2021-12-18 04:17:08	2021-12-18 04:17:08
NULL	2021-12-18	U05ad8d4053dcf299df0a8a5b7c0055bc	已滿18歲	6	event	role	1	2021-12-17 21:19:13	2021-12-18 04:17:08	2021-12-18 04:17:08
